Validation_Set,Threshold,Strategy,Net_Benefit
NWICU,0.38,Treat none,0
NWICU,0.39,XGBoost,0.0881051635508043
NWICU,0.39,Treat all,-0.219917649164983
NWICU,0.39,Treat none,0
NWICU,0.4,XGBoost,0.0816432657306292
NWICU,0.4,Treat all,-0.240249609984399
NWICU,0.4,Treat none,0
NWICU,0.41,XGBoost,0.0757555725957852
NWICU,0.41,Treat all,-0.261270789814643
NWICU,0.41,Treat none,0
NWICU,0.42,XGBoost,0.0732691376620583
NWICU,0.42,Treat all,-0.283016837914896
NWICU,0.42,Treat none,0
NWICU,0.43,XGBoost,0.07066808988149
NWICU,0.43,Treat all,-0.305525905246736
NWICU,0.43,Treat none,0
NWICU,0.44,XGBoost,0.0634053933585915
NWICU,0.44,Treat all,-0.328838867840428
NWICU,0.44,Treat none,0
NWICU,0.45,XGBoost,0.0615515529712098
NWICU,0.45,Treat all,-0.352999574528436
NWICU,0.45,Treat none,0
NWICU,0.46,XGBoost,0.0600335124516092
NWICU,0.46,Treat all,-0.378055122204888
NWICU,0.46,Treat none,0
NWICU,0.47,XGBoost,0.0592235010155123
NWICU,0.47,Treat all,-0.40405616224649
NWICU,0.47,Treat none,0
NWICU,0.48,XGBoost,0.0570022800912037
NWICU,0.48,Treat all,-0.431057242289692
NWICU,0.48,Treat none,0
NWICU,0.49,XGBoost,0.0517573644122236
NWICU,0.49,Treat all,-0.45911718821694
NWICU,0.49,Treat none,0
NWICU,0.5,XGBoost,0.0514820592823713
NWICU,0.5,Treat all,-0.488299531981279
NWICU,0.5,Treat none,0
NWICU,0.51,XGBoost,0.0498264828552326
NWICU,0.51,Treat all,-0.518672991817632
NWICU,0.51,Treat none,0
NWICU,0.52,XGBoost,0.0499219968798752
NWICU,0.52,Treat all,-0.550312012480499
NWICU,0.52,Treat none,0
NWICU,0.53,XGBoost,0.0488598267334949
NWICU,0.53,Treat all,-0.58329737444817
NWICU,0.53,Treat none,0
NWICU,0.54,XGBoost,0.044224377670759
NWICU,0.54,Treat all,-0.617716882588347
NWICU,0.54,Treat none,0
NWICU,0.55,XGBoost,0.0374414976599064
NWICU,0.55,Treat all,-0.653666146645866
NWICU,0.55,Treat none,0
NWICU,0.56,XGBoost,0.0353141398383208
NWICU,0.56,Treat all,-0.691249468160545
NWICU,0.56,Treat none,0
NWICU,0.57,XGBoost,0.0303305155462032
NWICU,0.57,Treat all,-0.730580851141023
NWICU,0.57,Treat none,0
NWICU,0.58,XGBoost,0.0318698462224203
NWICU,0.58,Treat all,-0.771785157120571
NWICU,0.58,Treat none,0
NWICU,0.59,XGBoost,0.0314676001674213
NWICU,0.59,Treat all,-0.814999429245463
NWICU,0.59,Treat none,0
NWICU,0.6,XGBoost,0.0288611544461778
NWICU,0.6,Treat all,-0.8603744149766
NWICU,0.6,Treat none,0
NWICU,0.61,XGBoost,0.0272810912436497
NWICU,0.61,Treat all,-0.908076323052923
NWICU,0.61,Treat none,0
NWICU,0.62,XGBoost,0.0258641924624353
NWICU,0.62,Treat all,-0.958288857870105
NWICU,0.62,Treat none,0
NWICU,0.63,XGBoost,0.0283762701859426
NWICU,0.63,Treat all,-1.01121558375849
NWICU,0.63,Treat none,0
NWICU,0.64,XGBoost,0.0220142139018894
NWICU,0.64,Treat all,-1.06708268330733
NWICU,0.64,Treat none,0
NWICU,0.65,XGBoost,0.0198350791174504
NWICU,0.65,Treat all,-1.12614218854469
NWICU,0.65,Treat none,0
NWICU,0.66,XGBoost,0.0160594659080481
NWICU,0.66,Treat all,-1.18867578232541
NWICU,0.66,Treat none,0
NWICU,0.67,XGBoost,0.0170188625726847
NWICU,0.67,Treat all,-1.25499929088073
NWICU,0.67,Treat none,0
NWICU,0.68,XGBoost,0.0105304212168486
NWICU,0.68,Treat all,-1.32546801872075
NWICU,0.68,Treat none,0
NWICU,0.69,XGBoost,0.00744803985707813
NWICU,0.69,Treat all,-1.40048311609884
NWICU,0.69,Treat none,0
NWICU,0.7,XGBoost,0.0020800832033281
NWICU,0.7,Treat all,-1.4804992199688
NWICU,0.7,Treat none,0
NWICU,0.71,XGBoost,0.00156006240249605
NWICU,0.71,Treat all,-1.56603367582979
NWICU,0.71,Treat none,0
NWICU,0.72,XGBoost,-4.16333634234434e-17
NWICU,0.72,Treat all,-1.65767773568086
NWICU,0.72,Treat none,0
NWICU,0.73,XGBoost,-0.000462240711850748
NWICU,0.73,Treat all,-1.75611024440978
NWICU,0.73,Treat none,0
NWICU,0.74,XGBoost,-0.00936037441497667
NWICU,0.74,Treat all,-1.86211448457938
NWICU,0.74,Treat none,0
NWICU,0.75,XGBoost,-0.00468018720748836
NWICU,0.75,Treat all,-1.97659906396256
NWICU,0.75,Treat none,0
NWICU,0.76,XGBoost,0.00260010400416015
NWICU,0.76,Treat all,-2.100624024961
NWICU,0.76,Treat none,0
NWICU,0.77,XGBoost,0.00583327680933324
NWICU,0.77,Treat all,-2.23543376517669
NWICU,0.77,Treat none,0
NWICU,0.78,XGBoost,-0.00283647709544747
NWICU,0.78,Treat all,-2.38249893632109
NWICU,0.78,Treat none,0
NWICU,0.79,XGBoost,-0.00304583611915908
NWICU,0.79,Treat all,-2.54357031424114
NWICU,0.79,Treat none,0
NWICU,0.8,XGBoost,-0.00780031201248055
NWICU,0.8,Treat all,-2.7207488299532
NWICU,0.8,Treat none,0
eICU,0.05,XGBoost,0.285888047031397
eICU,0.05,Treat all,0.28185895649089
eICU,0.05,Treat none,0
eICU,0.06,XGBoost,0.280252819635522
eICU,0.06,Treat all,0.274219158155687
eICU,0.06,Treat none,0
eICU,0.07,XGBoost,0.27484326546249
eICU,0.07,Treat all,0.266415063082092
eICU,0.07,Treat none,0
eICU,0.08,XGBoost,0.268258985577024
eICU,0.08,Treat all,0.258441313767767
eICU,0.08,Treat none,0
eICU,0.09,XGBoost,0.263715100498923
eICU,0.09,Treat all,0.250292317215765
eICU,0.09,Treat none,0
eICU,0.1,XGBoost,0.259562403038571
eICU,0.1,Treat all,0.241962231851495
eICU,0.1,Treat none,0
eICU,0.11,XGBoost,0.254380507754811
eICU,0.11,Treat all,0.233444953557692
eICU,0.11,Treat none,0
eICU,0.12,XGBoost,0.249463824572154
eICU,0.12,Treat all,0.224734100757211
eICU,0.12,Treat none,0
eICU,0.13,XGBoost,0.24557413156686
eICU,0.13,Treat all,0.215822998467064
eICU,0.13,Treat none,0
eICU,0.14,XGBoost,0.241761933020569
eICU,0.14,Treat all,0.206704661239937
eICU,0.14,Treat none,0
eICU,0.15,XGBoost,0.236766829986689
eICU,0.15,Treat all,0.197371774901583
eICU,0.15,Treat none,0
eICU,0.16,XGBoost,0.232088405896783
eICU,0.16,Treat all,0.187816676983745
eICU,0.16,Treat none,0
eICU,0.17,XGBoost,0.227268244861971
eICU,0.17,Treat all,0.178031335742585
eICU,0.17,Treat none,0
eICU,0.18,XGBoost,0.223751423840671
eICU,0.18,Treat all,0.168007327641885
eICU,0.18,Treat none,0
eICU,0.19,XGBoost,0.218560720887795
eICU,0.19,Treat all,0.157735813168328
eICU,0.19,Treat none,0
eICU,0.2,XGBoost,0.215334617236399
eICU,0.2,Treat all,0.147207510832932
eICU,0.2,Treat none,0
eICU,0.21,XGBoost,0.211551470901922
eICU,0.21,Treat all,0.136412669197906
eICU,0.21,Treat none,0
eICU,0.22,XGBoost,0.206720738738071
eICU,0.22,Treat all,0.125341036751725
eICU,0.22,Treat none,0
eICU,0.23,XGBoost,0.201664488616824
eICU,0.23,Treat all,0.113981829436813
eICU,0.23,Treat none,0
eICU,0.24,XGBoost,0.195626282847224
eICU,0.24,Treat all,0.102323695613613
eICU,0.24,Treat none,0
eICU,0.25,XGBoost,0.193227411330445
eICU,0.25,Treat all,0.0903546782217942
eICU,0.25,Treat none,0
eICU,0.26,XGBoost,0.18954052752801
eICU,0.26,Treat all,0.0780621738734401
eICU,0.26,Treat none,0
eICU,0.27,XGBoost,0.186596843445169
eICU,0.27,Treat all,0.0654328885840351
eICU,0.27,Treat none,0
eICU,0.28,XGBoost,0.182608463061039
eICU,0.28,Treat all,0.052452789814369
eICU,0.28,Treat none,0
eICU,0.29,XGBoost,0.178161893847437
eICU,0.29,Treat all,0.0391070544596418
eICU,0.29,Treat none,0
eICU,0.3,XGBoost,0.173189352775294
eICU,0.3,Treat all,0.0253800123804938
eICU,0.3,Treat none,0
eICU,0.31,XGBoost,0.169977601473697
eICU,0.31,Treat all,0.0112550850236894
eICU,0.31,Treat none,0
eICU,0.32,XGBoost,0.164320711433346
eICU,0.32,Treat all,-0.00328528137302109
eICU,0.32,Treat none,0
eICU,0.33,XGBoost,0.161254392457549
eICU,0.33,Treat all,-0.0182596885576931
eICU,0.33,Treat none,0
eICU,0.34,XGBoost,0.158547438759283
eICU,0.34,Treat all,-0.033687865657052
eICU,0.34,Treat none,0
eICU,0.35,XGBoost,0.152512869893708
eICU,0.35,Treat all,-0.0495907558979297
eICU,0.35,Treat none,0
eICU,0.36,XGBoost,0.147568608570053
eICU,0.36,Treat all,-0.0659906114588349
eICU,0.36,Treat none,0
eICU,0.37,XGBoost,0.144286249245325
eICU,0.37,Treat all,-0.0829110973550069
eICU,0.37,Treat none,0
eICU,0.38,XGBoost,0.140773758677994
eICU,0.38,Treat all,-0.100377405376862
eICU,0.38,Treat none,0
eICU,0.39,XGBoost,0.137090854558514
eICU,0.39,Treat all,-0.118416379235499
eICU,0.39,Treat none,0
eICU,0.4,XGBoost,0.136093724923768
eICU,0.4,Treat all,-0.137056652222757
eICU,0.4,Treat none,0
eICU,0.41,XGBoost,0.134059064981272
eICU,0.41,Treat all,-0.1563287988706
eICU,0.41,Treat none,0
eICU,0.42,XGBoost,0.130742284129962
eICU,0.42,Treat all,-0.176265502299404
eICU,0.42,Treat none,0
eICU,0.43,XGBoost,0.123845965419085
eICU,0.43,Treat all,-0.19690173918185
eICU,0.43,Treat none,0
eICU,0.44,XGBoost,0.119059082467845
eICU,0.44,Treat all,-0.218274984524383
eICU,0.44,Treat none,0
eICU,0.45,XGBoost,0.11550750645599
eICU,0.45,Treat all,-0.240425438788462
eICU,0.45,Treat none,0
eICU,0.46,XGBoost,0.109096096578042
eICU,0.46,Treat all,-0.263396280247508
eICU,0.46,Treat none,0
eICU,0.47,XGBoost,0.104105158928425
eICU,0.47,Treat all,-0.287233945912555
eICU,0.47,Treat none,0
eICU,0.48,XGBoost,0.0987741194770564
eICU,0.48,Treat all,-0.311988444872412
eICU,0.48,Treat none,0
eICU,0.49,XGBoost,0.0924976634852304
eICU,0.49,Treat all,-0.337713708497361
eICU,0.49,Treat none,0
eICU,0.5,XGBoost,0.0847376023110255
eICU,0.5,Treat all,-0.364467982667309
eICU,0.5,Treat none,0
eICU,0.51,XGBoost,0.0808858931150698
eICU,0.51,Treat all,-0.392314268027866
eICU,0.51,Treat none,0
eICU,0.52,XGBoost,0.0780773551596854
eICU,0.52,Treat all,-0.421320815278447
eICU,0.52,Treat none,0
eICU,0.53,XGBoost,0.0743912558006126
eICU,0.53,Treat all,-0.451561683688626
eICU,0.53,Treat none,0
eICU,0.54,XGBoost,0.0713612861359402
eICU,0.54,Treat all,-0.483117372464466
eICU,0.54,Treat none,0
eICU,0.55,XGBoost,0.0676188947734446
eICU,0.55,Treat all,-0.51607553629701
eICU,0.55,Treat none,0
eICU,0.56,XGBoost,0.0593075677331816
eICU,0.56,Treat all,-0.550531798485578
eICU,0.56,Treat none,0
eICU,0.57,XGBoost,0.0589960923066587
eICU,0.57,Treat all,-0.586590677520127
eICU,0.57,Treat none,0
eICU,0.58,XGBoost,0.0583258821101864
eICU,0.58,Treat all,-0.624366646032511
eICU,0.58,Treat none,0
eICU,0.59,XGBoost,0.0533720069988374
eICU,0.59,Treat all,-0.663985344716231
eICU,0.59,Treat none,0
eICU,0.6,XGBoost,0.0495907558979296
eICU,0.6,Treat all,-0.705584978334136
eICU,0.6,Treat none,0
eICU,0.61,XGBoost,0.0432946927891559
eICU,0.61,Treat all,-0.74931792649655
eICU,0.61,Treat none,0
eICU,0.62,XGBoost,0.0380102881179838
eICU,0.62,Treat all,-0.795352608772775
eICU,0.62,Treat none,0
eICU,0.63,XGBoost,0.0386602298012986
eICU,0.63,Treat all,-0.84387565225312
eICU,0.63,Treat none,0
eICU,0.64,XGBoost,0.0345583908414915
eICU,0.64,Treat all,-0.895094420371262
eICU,0.64,Treat none,0
eICU,0.65,XGBoost,0.0299883073113694
eICU,0.65,Treat all,-0.949239975239013
eICU,0.65,Treat none,0
eICU,0.66,XGBoost,0.0342405618964003
eICU,0.66,Treat all,-1.00657056274604
eICU,0.66,Treat none,0
eICU,0.67,XGBoost,0.0276622751345909
eICU,0.67,Treat all,-1.0673757313141
eICU,0.67,Treat none,0
eICU,0.68,XGBoost,0.0283461723639865
eICU,0.68,Treat all,-1.13198122291767
eICU,0.68,Treat none,0
eICU,0.69,XGBoost,0.0273347104229114
eICU,0.69,Treat all,-1.20075481075372
eICU,0.69,Treat none,0
eICU,0.7,XGBoost,0.0288878189696677
eICU,0.7,Treat all,-1.27411330444552
eICU,0.7,Treat none,0
eICU,0.71,XGBoost,0.027194395099032
eICU,0.71,Treat all,-1.35253100459881
eICU,0.71,Treat none,0
eICU,0.72,XGBoost,0.0237980603892977
eICU,0.72,Treat all,-1.43654996904877
eICU,0.72,Treat none,0
eICU,0.73,XGBoost,0.0172613634337274
eICU,0.73,Treat all,-1.52679256049502
eICU,0.73,Treat none,0
eICU,0.74,XGBoost,0.0184067256768267
eICU,0.74,Treat all,-1.62397688974483
eICU,0.74,Treat none,0
eICU,0.75,XGBoost,0.012518054886856
eICU,0.75,Treat all,-1.72893596533462
eICU,0.75,Treat none,0
eICU,0.76,XGBoost,0.0139624458353394
eICU,0.76,Treat all,-1.84264163055689
eICU,0.76,Treat none,0
eICU,0.77,XGBoost,0.00883381130811581
eICU,0.77,Treat all,-1.96623474492893
eICU,0.77,Treat none,0
eICU,0.78,XGBoost,0.00976058125793319
eICU,0.78,Treat all,-2.10106359697116
eICU,0.78,Treat none,0
eICU,0.79,XGBoost,0.00376000183414721
eICU,0.79,Treat all,-2.24873329206502
eICU,0.79,Treat none,0
eICU,0.8,XGBoost,0.000962927298988891
eICU,0.8,Treat all,-2.41116995666827
eICU,0.8,Treat none,0
