Reference,Comparator,Delta_AUROC,P_value,P_FDR
XGBoost,ElasticNet,0.00263314593208097,0.100025164584959,0.133366886113279
XGBoost,RandomForest,0.000802421174418866,0.52289767700604,0.52289767700604
XGBoost,SVM_RBF,0.00678868670966604,0.000691234482972289,0.00138246896594458
XGBoost,KNN,0.0260232990537199,2.90650823555195e-15,1.16260329422078e-14
