Model,AUROC,AUPRC
XGBoost,0.868440927890667,0.758407415485167
RandomForest,0.867638506716248,0.757112446955386
ElasticNet,0.865807781958586,0.752599980480912
SVM_RBF,0.861652241181001,0.754344172176477
KNN,0.842417628836947,0.712208012928561
