Outer_Fold,Feature,Boruta,LASSO,Selected,Forced,Fallback,Lambda_1se
2,SOFA_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0179112016298713
3,Age,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Gender,FALSE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Race,FALSE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,ICU_Type,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,SOFA,TRUE,TRUE,TRUE,FALSE,FALSE,0.0213424754897658
3,OASIS,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Charlson,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Hypertension,FALSE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Diabetes,FALSE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,COPD,FALSE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,HF,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Stroke,FALSE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Malignancy,FALSE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Lung_Infection,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,GI_Infection,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,GU_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Other_Infection,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,MAP,TRUE,TRUE,TRUE,FALSE,FALSE,0.0213424754897658
3,Heart_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Resp_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Temperature,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Hb,FALSE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,WBC,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Plt,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Cre,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,AST,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,TBil,TRUE,TRUE,TRUE,FALSE,FALSE,0.0213424754897658
3,Na,TRUE,TRUE,TRUE,FALSE,FALSE,0.0213424754897658
3,K,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Ca,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Cl,TRUE,FALSE,FALSE,FALSE,FALSE,0.0213424754897658
3,Plt_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0213424754897658
3,INR_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0213424754897658
3,SOFA_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0213424754897658
4,Age,TRUE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,Gender,FALSE,TRUE,FALSE,FALSE,FALSE,0.0135743081500302
4,Race,FALSE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,ICU_Type,TRUE,TRUE,TRUE,FALSE,FALSE,0.0135743081500302
4,SOFA,TRUE,TRUE,TRUE,FALSE,FALSE,0.0135743081500302
4,OASIS,TRUE,TRUE,TRUE,FALSE,FALSE,0.0135743081500302
4,Charlson,TRUE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,Hypertension,FALSE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,Diabetes,FALSE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,COPD,FALSE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,HF,TRUE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,Stroke,FALSE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,Malignancy,FALSE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,Lung_Infection,FALSE,TRUE,FALSE,FALSE,FALSE,0.0135743081500302
4,GI_Infection,TRUE,TRUE,TRUE,FALSE,FALSE,0.0135743081500302
4,GU_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,Other_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,MAP,TRUE,TRUE,TRUE,FALSE,FALSE,0.0135743081500302
4,Heart_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,Resp_Rate,TRUE,TRUE,TRUE,FALSE,FALSE,0.0135743081500302
4,Temperature,TRUE,TRUE,TRUE,FALSE,FALSE,0.0135743081500302
4,Hb,FALSE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,WBC,TRUE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,Plt,TRUE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,Cre,TRUE,TRUE,TRUE,FALSE,FALSE,0.0135743081500302
4,AST,TRUE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,TBil,TRUE,TRUE,TRUE,FALSE,FALSE,0.0135743081500302
4,Na,TRUE,TRUE,TRUE,FALSE,FALSE,0.0135743081500302
4,K,TRUE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,Ca,TRUE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,Cl,TRUE,FALSE,FALSE,FALSE,FALSE,0.0135743081500302
4,Plt_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0135743081500302
4,INR_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0135743081500302
4,SOFA_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0135743081500302
5,Age,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Gender,FALSE,TRUE,FALSE,FALSE,FALSE,0.0178538189066079
5,Race,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,ICU_Type,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,SOFA,TRUE,TRUE,TRUE,FALSE,FALSE,0.0178538189066079
5,OASIS,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Charlson,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Hypertension,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Diabetes,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,COPD,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,HF,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Stroke,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Malignancy,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Lung_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,GI_Infection,TRUE,TRUE,TRUE,FALSE,FALSE,0.0178538189066079
5,GU_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Other_Infection,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,MAP,TRUE,TRUE,TRUE,FALSE,FALSE,0.0178538189066079
5,Heart_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Resp_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Temperature,TRUE,TRUE,TRUE,FALSE,FALSE,0.0178538189066079
5,Hb,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,WBC,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Plt,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Cre,TRUE,TRUE,TRUE,FALSE,FALSE,0.0178538189066079
5,AST,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,TBil,TRUE,TRUE,TRUE,FALSE,FALSE,0.0178538189066079
5,Na,TRUE,TRUE,TRUE,FALSE,FALSE,0.0178538189066079
5,K,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Ca,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Cl,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178538189066079
5,Plt_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0178538189066079
5,INR_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0178538189066079
5,SOFA_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0178538189066079
6,Age,TRUE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Gender,FALSE,TRUE,FALSE,FALSE,FALSE,0.0177561668987823
6,Race,FALSE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,ICU_Type,TRUE,TRUE,TRUE,FALSE,FALSE,0.0177561668987823
6,SOFA,TRUE,TRUE,TRUE,FALSE,FALSE,0.0177561668987823
6,OASIS,TRUE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Charlson,TRUE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Hypertension,FALSE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Diabetes,FALSE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,COPD,FALSE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,HF,TRUE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Stroke,FALSE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Malignancy,FALSE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Lung_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,GI_Infection,TRUE,TRUE,TRUE,FALSE,FALSE,0.0177561668987823
6,GU_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Other_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,MAP,TRUE,TRUE,TRUE,FALSE,FALSE,0.0177561668987823
6,Heart_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Resp_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Temperature,TRUE,TRUE,TRUE,FALSE,FALSE,0.0177561668987823
6,Hb,FALSE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
