Model,penalty,mixture,.metric,.estimator,mean,n,std_err,.config,mtry,min_n,trees,tree_depth,learn_rate,loss_reduction,sample_size,cost,rbf_sigma,neighbors,weight_func,dist_power
RandomForest,,,pr_auc,binary,0.750082151253693,10,0.0100334089284263,Preprocessor1_Model11,11,33,,,,,,,,,"",
RandomForest,,,roc_auc,binary,0.862164780343085,10,0.00454652655170805,Preprocessor1_Model11,11,33,,,,,,,,,"",
RandomForest,,,pr_auc,binary,0.743245357515319,10,0.0102798183861191,Preprocessor1_Model12,13,15,,,,,,,,,"",
RandomForest,,,roc_auc,binary,0.858049952619467,10,0.0046924320532235,Preprocessor1_Model12,13,15,,,,,,,,,"",
XGBoost,,,pr_auc,binary,0.762505901911779,10,0.0112450695826124,Preprocessor1_Model01,1,2,1273,11,0.00480638086306439,0.00208056753821717,0.754545454545455,,,,"",
XGBoost,,,roc_auc,binary,0.869640155812362,10,0.00557237411243421,Preprocessor1_Model01,1,2,1273,11,0.00480638086306439,0.00208056753821717,0.754545454545455,,,,"",
XGBoost,,,pr_auc,binary,0.763950038983827,10,0.0108654454457461,Preprocessor1_Model02,2,36,1818,6,0.00811130830789687,1.23284673944207e-08,0.590909090909091,,,,"",
XGBoost,,,roc_auc,binary,0.870389902703074,10,0.00574852013193555,Preprocessor1_Model02,2,36,1818,6,0.00811130830789687,1.23284673944207e-08,0.590909090909091,,,,"",
XGBoost,,,pr_auc,binary,0.736714984956736,10,0.0113191285572997,Preprocessor1_Model03,3,26,546,3,0.0028480358684358,2.84803586843579,0.181818181818182,,,,"",
XGBoost,,,roc_auc,binary,0.852613460647464,10,0.00561202317603879,Preprocessor1_Model03,3,26,546,3,0.0028480358684358,2.84803586843579,0.181818181818182,,,,"",
XGBoost,,,pr_auc,binary,0.658790861682588,10,0.0108827188796723,Preprocessor1_Model04,4,33,1,15,0.0389860370254907,1.68761247578815e-05,0.509090909090909,,,,"",
XGBoost,,,roc_auc,binary,0.795731130726419,10,0.00826975429329248,Preprocessor1_Model04,4,33,1,15,0.0389860370254907,1.68761247578815e-05,0.509090909090909,,,,"",
XGBoost,,,pr_auc,binary,0.748343922248886,10,0.0109031451449849,Preprocessor1_Model05,5,12,182,2,0.0136887450953708,1e-10,0.672727272727273,,,,"",
XGBoost,,,roc_auc,binary,0.858852192279166,10,0.00557560892602862,Preprocessor1_Model05,5,12,182,2,0.0136887450953708,1e-10,0.672727272727273,,,,"",
XGBoost,,,pr_auc,binary,0.654688132037988,10,0.0103966855006712,Preprocessor1_Model06,6,5,909,8,0.316227766016838,0.000187381742286038,0.1,,,,"",
XGBoost,,,roc_auc,binary,0.803588684537168,10,0.00707433863267294,Preprocessor1_Model06,6,5,909,8,0.316227766016838,0.000187381742286038,0.1,,,,"",
XGBoost,,,pr_auc,binary,0.757538087068033,10,0.0103093070736716,Preprocessor1_Model07,7,19,1091,1,0.187381742286038,0.256502090568004,0.918181818181818,,,,"",
XGBoost,,,roc_auc,binary,0.867114587484294,10,0.00557367725710478,Preprocessor1_Model07,7,19,1091,1,0.187381742286038,0.256502090568004,0.918181818181818,,,,"",
XGBoost,,,pr_auc,binary,0.753644018997598,10,0.00945469812724875,Preprocessor1_Model08,8,29,2000,12,0.0231012970008316,31.6227766016838,0.427272727272727,,,,"",
XGBoost,,,roc_auc,binary,0.862139416981107,10,0.00546343873277309,Preprocessor1_Model08,8,29,2000,12,0.0231012970008316,31.6227766016838,0.427272727272727,,,,"",
XGBoost,,,pr_auc,binary,0.706053197554339,10,0.0122050761225756,Preprocessor1_Model09,9,15,1636,13,0.111033631816764,1.11033631816764e-09,0.836363636363636,,,,"",
XGBoost,,,roc_auc,binary,0.838468116809698,10,0.00598398196242242,Preprocessor1_Model09,9,15,1636,13,0.111033631816764,1.11033631816764e-09,0.836363636363636,,,,"",
XGBoost,,,pr_auc,binary,0.744718079306453,10,0.0103096611005412,Preprocessor1_Model10,10,22,364,9,0.00168761247578815,0.0231012970008316,1,,,,"",
XGBoost,,,roc_auc,binary,0.862074781162949,10,0.00467859740470466,Preprocessor1_Model10,10,22,364,9,0.00168761247578815,0.0231012970008316,1,,,,"",
XGBoost,,,pr_auc,binary,0.75698068315792,10,0.00984939724719795,Preprocessor1_Model11,11,8,1454,7,0.001,1.36887450953708e-07,0.263636363636364,,,,"",
XGBoost,,,roc_auc,binary,0.8666974290579,10,0.00506962622150395,Preprocessor1_Model11,11,8,1454,7,0.001,1.36887450953708e-07,0.263636363636364,,,,"",
XGBoost,,,pr_auc,binary,0.740492057221538,10,0.0107920183540277,Preprocessor1_Model12,13,40,727,4,0.0657933224657568,1.51991108295293e-06,0.345454545454545,,,,"",
XGBoost,,,roc_auc,binary,0.856839842357244,10,0.00544768468989321,Preprocessor1_Model12,13,40,727,4,0.0657933224657568,1.51991108295293e-06,0.345454545454545,,,,"",
SVM_RBF,,,pr_auc,binary,0.749090099899652,10,0.00879407468894793,Preprocessor1_Model01,,,,,,,,0.0009765625,0.000231012970008316,,"",
SVM_RBF,,,roc_auc,binary,0.859644135967831,10,0.0041485232749312,Preprocessor1_Model01,,,,,,,,0.0009765625,0.000231012970008316,,"",
SVM_RBF,,,pr_auc,binary,0.748644600844437,10,0.00902848397712862,Preprocessor1_Model02,,,,,,,,0.00251301737892467,6.57933224657568e-09,,"",
SVM_RBF,,,roc_auc,binary,0.85975786831453,10,0.00404463248892476,Preprocessor1_Model02,,,,,,,,0.00251301737892467,6.57933224657568e-09,,"",
SVM_RBF,,,pr_auc,binary,0.735072128890177,10,0.0121136673070684,Preprocessor1_Model03,,,,,,,,0.00646682249910008,0.123284673944206,,"",
SVM_RBF,,,roc_auc,binary,0.853881991011999,10,0.00557884277635822,Preprocessor1_Model03,,,,,,,,0.00646682249910008,0.123284673944206,,"",
SVM_RBF,,,pr_auc,binary,0.749046549393847,10,0.00867827390571535,Preprocessor1_Model04,,,,,,,,0.0166412670224994,3.51119173421513e-06,,"",
SVM_RBF,,,roc_auc,binary,0.859509935612048,10,0.00404220549735654,Preprocessor1_Model04,,,,,,,,0.0166412670224994,3.51119173421513e-06,,"",
SVM_RBF,,,pr_auc,binary,0.737516288368292,10,0.00863174064220841,Preprocessor1_Model05,,,,,,,,0.0428234682725039,1e-10,,"",
SVM_RBF,,,roc_auc,binary,0.853181540849265,10,0.00421688937794873,Preprocessor1_Model05,,,,,,,,0.0428234682725039,1e-10,,"",
SVM_RBF,,,pr_auc,binary,0.751260555031589,10,0.00901717081817464,Preprocessor1_Model06,,,,,,,,0.110198906874503,0.00187381742286038,,"",
SVM_RBF,,,roc_auc,binary,0.861222169894962,10,0.00422606193532364,Preprocessor1_Model06,,,,,,,,0.110198906874503,0.00187381742286038,,"",
SVM_RBF,,,pr_auc,binary,0.7491519256889,10,0.0086721740826993,Preprocessor1_Model07,,,,,,,,0.283578130548866,5.3366992312063e-08,,"",
SVM_RBF,,,roc_auc,binary,0.859642486705804,10,0.00408387161077646,Preprocessor1_Model07,,,,,,,,0.283578130548866,5.3366992312063e-08,,"",
SVM_RBF,,,pr_auc,binary,0.672831480818775,10,0.0124325606137981,Preprocessor1_Model08,,,,,,,,0.729740052840723,1,,"",
SVM_RBF,,,roc_auc,binary,0.801508884088339,10,0.00637306800541966,Preprocessor1_Model08,,,,,,,,0.729740052840723,1,,"",
SVM_RBF,,,pr_auc,binary,0.750977559763306,10,0.0089731750640835,Preprocessor1_Model09,,,,,,,,1.87786182132341,2.8480358684358e-05,,"",
SVM_RBF,,,roc_auc,binary,0.861015116010807,10,0.00421722367765298,Preprocessor1_Model09,,,,,,,,1.87786182132341,2.8480358684358e-05,,"",
SVM_RBF,,,pr_auc,binary,0.738056019458766,10,0.00898810645138112,Preprocessor1_Model10,,,,,,,,4.83235777761779,8.11130830789686e-10,,"",
SVM_RBF,,,roc_auc,binary,0.851187487725868,10,0.00450365246559937,Preprocessor1_Model10,,,,,,,,4.83235777761779,8.11130830789686e-10,,"",
SVM_RBF,,,pr_auc,binary,0.757715829753875,10,0.00924210809131006,Preprocessor1_Model11,,,,,,,,12.4352502541673,0.0151991108295293,,"",
SVM_RBF,,,roc_auc,binary,0.862569807636941,10,0.00471195223106843,Preprocessor1_Model11,,,,,,,,12.4352502541673,0.0151991108295293,,"",
SVM_RBF,,,pr_auc,binary,0.750881929658785,10,0.00893939861507036,Preprocessor1_Model12,,,,,,,,32,4.32876128108306e-07,,"",
SVM_RBF,,,roc_auc,binary,0.86099982458716,10,0.00419757235932586,Preprocessor1_Model12,,,,,,,,32,4.32876128108306e-07,,"",
KNN,,,pr_auc,binary,0.672758176462778,10,0.0100838503862412,Preprocessor1_Model01,,,,,,,,,,8,biweight,1.48181818181818
KNN,,,roc_auc,binary,0.810546911494689,10,0.00550070399633358,Preprocessor1_Model01,,,,,,,,,,8,biweight,1.48181818181818
KNN,,,pr_auc,binary,0.707141266244091,10,0.00953429961920487,Preprocessor1_Model02,,,,,,,,,,9,cos,0.445454545454545
KNN,,,roc_auc,binary,0.832589219832328,10,0.00560077348568715,Preprocessor1_Model02,,,,,,,,,,9,cos,0.445454545454545
KNN,,,pr_auc,binary,0.651865082425432,10,0.00740674325557323,Preprocessor1_Model03,,,,,,,,,,2,epanechnikov,0.790909090909091
KNN,,,roc_auc,binary,0.753220126907376,10,0.00440555177112294,Preprocessor1_Model03,,,,,,,,,,2,epanechnikov,0.790909090909091
KNN,,,pr_auc,binary,0.723863520788546,10,0.0102309181747179,Preprocessor1_Model04,,,,,,,,,,15,epanechnikov,1.13636363636364
KNN,,,roc_auc,binary,0.844747255361055,10,0.00510185845472476,Preprocessor1_Model04,,,,,,,,,,15,epanechnikov,1.13636363636364
KNN,,,pr_auc,binary,0.664480584382256,10,0.00923929150596385,Preprocessor1_Model05,,,,,,,,,,3,gaussian,1.82727272727273
KNN,,,roc_auc,binary,0.781224481721791,10,0.00468695584841826,Preprocessor1_Model05,,,,,,,,,,3,gaussian,1.82727272727273
KNN,,,pr_auc,binary,0.720981659811516,10,0.010060981007013,Preprocessor1_Model06,,,,,,,,,,11,inv,2
KNN,,,roc_auc,binary,0.842539346339306,10,0.00540487214296605,Preprocessor1_Model06,,,,,,,,,,11,inv,2
KNN,,,pr_auc,binary,0.656994516134463,10,0.00773440263800398,Preprocessor1_Model07,,,,,,,,,,4,rank,0.1
KNN,,,roc_auc,binary,0.793166747540884,10,0.00559865438468603,Preprocessor1_Model07,,,,,,,,,,4,rank,0.1
KNN,,,pr_auc,binary,0.733781629577044,10,0.0108396238326332,Preprocessor1_Model08,,,,,,,,,,12,rectangular,0.272727272727273
KNN,,,roc_auc,binary,0.844784940521701,10,0.00606414432240435,Preprocessor1_Model08,,,,,,,,,,12,rectangular,0.272727272727273
KNN,,,pr_auc,binary,0.64308283259969,10,0.0067021462927704,Preprocessor1_Model09,,,,,,,,,,1,rectangular,0.963636363636364
KNN,,,roc_auc,binary,0.68764656505433,10,0.00584409290785541,Preprocessor1_Model09,,,,,,,,,,1,rectangular,0.963636363636364
KNN,,,pr_auc,binary,0.713322934929622,10,0.00951013403673527,Preprocessor1_Model10,,,,,,,,,,13,triangular,1.30909090909091
KNN,,,roc_auc,binary,0.837835472289538,10,0.00526406677585957,Preprocessor1_Model10,,,,,,,,,,13,triangular,1.30909090909091
KNN,,,pr_auc,binary,0.67907313321948,10,0.00953057164866019,Preprocessor1_Model11,,,,,,,,,,6,triangular,1.65454545454545
KNN,,,roc_auc,binary,0.808810381580127,10,0.00561654356455289,Preprocessor1_Model11,,,,,,,,,,6,triangular,1.65454545454545
KNN,,,pr_auc,binary,0.666199221304911,10,0.0100599970321091,Preprocessor1_Model12,,,,,,,,,,7,triweight,0.618181818181818
KNN,,,roc_auc,binary,0.805648469808972,10,0.00548469510152197,Preprocessor1_Model12,,,,,,,,,,7,triweight,0.618181818181818
